file,round,process,target,metric,operand,compression,communication
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,3,internode_time,B,0.380576,0.198014
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,0,internode_time,A,0.55104,0.624131
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,3,internode_time,A,0.372288,0.161492
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,0,internode_time,A,0.218176,0.501729
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,0,internode_time,B,0.883072,0.810605
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,1,0,internode_time,B,0.1048,0.160351
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,2,internode_time,B,0.309088,0.190157
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,2,internode_time,A,0.305472,7.928585
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,2,internode_time,B,12.173824,0.661113
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,1,internode_time,B,4.874656,0.843103
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,1,internode_time,A,7.386624,13.780301
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,0,internode_time,A,4.215136,13.155123
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,0,internode_time,B,9.00784,9.367508
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,2,internode_time,A,13.90944,23.986984
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,2,internode_time,B,8.7344,24.002234
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,1,internode_time,A,2.783168,12.353985
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,1,internode_time,B,9.29488,21.890425
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,0,internode_time,A,9.350272,21.843592
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,3,internode_time,A,4.126368,0.941423
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,3,internode_time,B,12.64176,0.872971
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,2,internode_time,A,11.964128,16.565525
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,2,internode_time,B,19.330912,4.769625
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,1,internode_time,A,4.887456,0.818048
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,1,internode_time,B,12.385696,22.544548
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,0,internode_time,B,4.964512,0.738343
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,0,internode_time,A,5.299488,7.319603
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,3,internode_time,A,7.109792,12.885845
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,0,internode_time,B,0.21712,0.932229
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,1,internode_time,A,0.859392,3.592952
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,3,internode_time,B,4.846144,25.597551
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,4,3,internode_time,B,0.108032,0.519255
